"region","countryCode","country","disease","cases_2006","cases_2016"
"AFR","NGA","Nigeria","measles",704,17136
"AFR","TZA","United Republic of Tanzania","measles",2362,33
"EMR","SDN","Sudan (the)","measles",228,1767
"EMR","YEM","Yemen","measles",8079,143
"EUR","FRA","France","measles",40,79
"EUR","UKR","Ukraine","measles",42724,102
"SEAR","BGD","Bangladesh","measles",6192,972
"SEAR","NPL","Nepal","measles",2838,1269
"WPR","MYS","Malaysia","measles",564,1569
"WPR","VNM","Viet Nam","measles",1978,46
